step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.174257755279541,4.174109935760498,0.02,-100.0
1,1,4.16133975982666,4.1595306396484375,0.02,-100.0,0.015943266917020082,5.85467423661612e-05,0.0003171444677718682,0.0005670159298460931
2,2,4.141127109527588,4.141682147979736,0.02,-100.0,0.023610299453139305,0.020631818624679,0.020878044539131224,0.011572434101253748
3,3,4.122514247894287,4.122019290924072,0.02,-100.0,0.034051502123475075,0.03141047910321504,0.03196984122041613,0.02744367392733693
4,4,4.108625411987305,4.096328258514404,0.02,-100.0,0.04717276990413666,0.03990634740330279,0.040967814973555505,0.04451244976371527
5,5,4.078067302703857,4.079129695892334,0.02,-100.0,0.06240776553750038,0.047975916182622313,0.049416579655371606,0.06316543743014336
6,6,4.052541255950928,4.060991287231445,0.02,0.8895131654149384,0.07814317382872105,0.0556162481661886,0.057245111791417,0.08365307375788689
7,7,4.040740489959717,4.0213704109191895,0.02,0.8871698428027107,0.09450513683259487,0.06298811826854944,0.06468702689744532,0.10604126378893852
8,8,3.994166374206543,4.008195877075195,0.02,0.8903085865831597,0.11168699897825718,0.07009310740977526,0.07182926149107516,0.13068659603595734
9,9,3.983006715774536,3.9822919368743896,0.02,0.8790312334378799,0.12870870530605316,0.07672404940240085,0.07850203616544604,0.15669620037078857
10,10,3.9401443004608154,3.9643054008483887,0.02,0.8819611725643292,0.14593543857336044,0.08274632995016873,0.08455671626143157,0.1842080093920231
11,11,3.8948254585266113,3.9341981410980225,0.02,0.882680974571547,0.1640208251774311,0.08812926057726145,0.0899785493966192,0.21321727707982063
12,12,3.879835367202759,3.90104341506958,0.02,0.8844417638495857,0.1808425784111023,0.09292386705055833,0.09482669644057751,0.24379223585128784
13,13,3.8808951377868652,3.8728091716766357,0.02,0.8827881912048289,0.19905796274542809,0.09723975718952715,0.0991850309073925,0.2758220434188843
14,14,3.8179566860198975,3.8630623817443848,0.02,0.8796887459818541,0.2168583683669567,0.1010962794534862,0.10308307548984885,0.30916572362184525
15,15,3.7838263511657715,3.792590856552124,0.02,0.8800409331662826,0.2342570573091507,0.10459673614241183,0.10661268560215831,0.3438975363969803
16,16,3.740494966506958,3.7586498260498047,0.02,0.8828770048046414,0.2514207661151886,0.10778178786858916,0.10983136342838407,0.379607230424881
17,17,3.7687737941741943,3.7228331565856934,0.02,0.8800712670510741,0.2688153609633446,0.11075178161263466,0.11283219675533473,0.4162493348121643
18,18,3.7037713527679443,3.7738287448883057,0.02,0.8822797398048298,0.28555338084697723,0.11356568266637623,0.11568450788035989,0.45387502014636993
19,19,3.6819217205047607,3.6983888149261475,0.02,2.8763482480488505,0.30059339851140976,0.11625361861661077,0.11843574047088623,0.49231868237257004
20,20,3.640909433364868,3.69604229927063,0.02,2.677961843031477,0.31682979315519333,0.11884413985535502,0.12111802096478641,0.5316246449947357
