step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.174349784851074,4.174179553985596,0.02,-100.0
1,1,4.159425258636475,4.1609978675842285,0.02,-100.0,0.016144038178026676,5.578035850817287e-05,0.00031708811604858056,0.0012020489375572652
2,2,4.1408586502075195,4.143734455108643,0.02,-100.0,0.023798547685146332,0.020654580817790702,0.020889790568617173,0.011388413840904832
3,3,4.123581886291504,4.119476318359375,0.02,-100.0,0.034132370725274086,0.03375638974830508,0.03422992599371355,0.026804266031831503
4,4,4.096358299255371,4.098487377166748,0.02,-100.0,0.04787225462496281,0.04381579291657545,0.04454387979058083,0.045356971211731434
5,5,4.067805290222168,4.08078145980835,0.02,-100.0,0.0631497148424387,0.052218903132597916,0.053213191087706946,0.06524566747248173
6,6,4.056197166442871,4.0559773445129395,0.02,0.8585753187410613,0.0797713752835989,0.059464272955665365,0.060745485141524114,0.08651550859212875
7,7,4.018407821655273,4.039700508117676,0.02,0.8624540921228888,0.09665901027619839,0.06587597366888076,0.06743101478787139,0.10921140946447849
8,8,4.000628471374512,4.005043983459473,0.02,0.867843395999337,0.11431868560612202,0.07169122359482571,0.07347840382135473,0.1333068609237671
9,9,3.9837656021118164,4.02744722366333,0.02,0.8581880513154982,0.13171343877911568,0.0770375678257551,0.07901496763224714,0.1590297669172287
10,10,3.9223392009735107,3.9415602684020996,0.02,1.0984006697428306,0.14886422082781792,0.08200938469963148,0.08411609195172787,0.18639056384563446
11,11,3.9083633422851562,3.915241241455078,0.02,1.0784652266382968,0.16698616743087769,0.0866271349368617,0.0888163914787583,0.2155124545097351
12,12,3.8753838539123535,3.9067931175231934,0.02,1.0566302523538127,0.1841026097536087,0.09090312320040539,0.09313595260027796,0.2460206188261509
13,13,3.8393828868865967,3.9054343700408936,0.02,1.0323520705763691,0.20167364925146103,0.09481554728699848,0.09706772584468126,0.27799177169799805
14,14,3.7947335243225098,3.823291301727295,0.02,1.010503244276946,0.21936071291565895,0.0983685998362489,0.10062897161697038,0.3111913502216339
15,15,3.786658525466919,3.8015761375427246,0.02,0.9859825480560129,0.23722613230347633,0.10159957452560775,0.10385315399616957,0.34547603130340576
16,16,3.760214328765869,3.794506072998047,0.02,0.9737870585352396,0.25383684784173965,0.10452236526180059,0.10676905341097154,0.38084588944911957
17,17,3.717771530151367,3.7438762187957764,0.02,0.9678953561070955,0.26955779641866684,0.10716650600079447,0.10941193776670843,0.4174640476703644
18,18,3.763636827468872,3.704760789871216,0.02,0.9534210642093224,0.28750302642583847,0.10957308753859252,0.11182749466388486,0.45528505742549896
19,19,3.7247121334075928,3.7212979793548584,0.02,0.9428158670328075,0.30231795459985733,0.1117687365913298,0.11404405848588794,0.49429018050432205
20,20,3.605015277862549,3.681697130203247,0.02,1.1751022658769883,0.3196025639772415,0.11378561332821846,0.11608920435537584,0.534030020236969
