step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.174457550048828,4.174302577972412,2e-07,-100.0
1,1,4.174331188201904,4.1742753982543945,2e-07,-100.0,0.016069302801042795,5.82250926299821e-05,0.00031492451671510935,0.0015716947382315993
2,2,4.174531936645508,4.174511909484863,2e-07,-100.0,0.016043579671531916,5.654613187289215e-05,0.0003149413259961875,0.001572382083395496
3,3,4.17440938949585,4.174228668212891,2e-07,-100.0,0.01606793235987425,5.819843147492065e-05,0.00031501598732575076,0.0015729364822618663
4,4,4.174426078796387,4.174444198608398,2e-07,-100.0,0.016056762542575598,5.7334146390530805e-05,0.00031502828460361343,0.0015767269069328904
5,5,4.1745147705078125,4.174179553985596,2e-07,-100.0,0.01606174372136593,5.6511550155846635e-05,0.00031494380800722865,0.0015757693618070334
6,6,4.174349784851074,4.1743245124816895,2e-07,0.5526495453858294,0.016069630160927773,5.740164681355964e-05,0.00031508979191130493,0.0015742868126835674
7,7,4.174354076385498,4.174374103546143,2e-07,0.6103443051816075,0.01605041418224573,5.7937047131417785e-05,0.00031490240053244634,0.0015727331046946347
8,8,4.174324035644531,4.174391269683838,2e-07,0.6616935161550075,0.016071623656898737,5.818537681534508e-05,0.00031499792657996295,0.0015743457770440727
9,9,4.174350738525391,4.174204349517822,2e-07,0.707173309406202,0.016065965872257948,5.713027735509968e-05,0.0003149857921016519,0.0015744839038234204
10,10,4.174424171447754,4.174328804016113,2e-07,0.7484974054974497,0.01603032322600484,5.8181262033940584e-05,0.0003149797830701573,0.0015739831724204123
11,11,4.174307823181152,4.174401760101318,2e-07,0.7876414309004274,0.016059820540249348,5.7701534501575225e-05,0.00031505241713603027,0.0015705434198025614
12,12,4.174283504486084,4.174383640289307,2e-07,0.8224761138955023,0.01604414451867342,5.820306307668943e-05,0.00031511269116890617,0.0015715613844804466
13,13,4.174306392669678,4.1742095947265625,2e-07,0.8518362723784385,0.01606947649270296,5.597811832558364e-05,0.00031498925454798155,0.001574698049807921
14,14,4.174285888671875,4.174429416656494,2e-07,0.8785820040135762,0.016048882622271776,5.8255977705812256e-05,0.0003150732463836903,0.0015728345897514373
15,15,4.174292087554932,4.1744279861450195,2e-07,0.9023760145136764,0.016054654493927956,5.7689120922077564e-05,0.00031499366286880104,0.0015722905518487096
16,16,4.174221992492676,4.174397945404053,2e-07,0.9255893136908339,0.01608090940862894,5.6797902402649925e-05,0.0003149971262246254,0.001573817862663418
17,17,4.1743574142456055,4.174326419830322,2e-07,0.9465536125982136,0.016055359039455652,5.8876132698060246e-05,0.0003150617294522817,0.0015748903970234096
18,18,4.174320697784424,4.17420768737793,2e-07,0.9634529427031656,0.01604705723002553,5.915677502343897e-05,0.0003150951579300454,0.001574948983034119
19,19,4.174304008483887,4.174327850341797,2e-07,0.9794545426091268,0.01605417486280203,5.728824794459797e-05,0.0003149804078930174,0.0015708937717135996
20,20,4.174337863922119,4.174300670623779,2e-07,0.9935664699055414,0.01607777737081051,5.758983957093733e-05,0.00031489476805290906,0.0015726310084573925
21,21,4.174210548400879,4.1742048263549805,2e-07,1.0071371169297108,0.016050328500568867,5.820099079301144e-05,0.0003151276268908987,0.0015732823521830142
22,22,4.174227237701416,4.174397945404053,2e-07,1.0189786794304527,0.01604489702731371,5.789137617284723e-05,0.00031488297827309,0.0015756931097712368
23,23,4.174222469329834,4.1742706298828125,2e-07,1.0287478439310977,0.016061062458902597,5.694569267689076e-05,0.0003149034164380282,0.0015742287796456367
24,24,4.1743035316467285,4.17427921295166,2e-07,1.039069166928624,0.016079098917543888,5.7571298157199635e-05,0.0003149834228679538,0.0015746723220217973
25,25,4.174386501312256,4.174346923828125,2e-07,1.0485235267879522,0.01606610044836998,5.717805402127851e-05,0.000315137729558046,0.0015715994813945144
26,26,4.174180507659912,4.174487113952637,2e-07,1.0582071099724384,0.0160637809894979,5.791098249119386e-05,0.00031498570660914993,0.001574460620759055
27,27,4.174437522888184,4.174400329589844,2e-07,1.065662400719501,0.016081867273896933,5.733018235787313e-05,0.0003149571057292633,0.0015753287880215794
28,28,4.1742048263549805,4.174300670623779,2e-07,1.0705178674436675,0.01606460800394416,5.7032967902159726e-05,0.00031497063082497334,0.00157259835395962
29,29,4.174394130706787,4.1742377281188965,2e-07,1.0758238412968062,0.01605443563312292,5.7573253229747934e-05,0.0003148436044284608,0.0015751607134006917
30,30,4.174462795257568,4.174286365509033,2e-07,1.081587459042607,0.016071410849690437,5.695152515272639e-05,0.000314950613756082,0.0015743053518235683
31,31,4.174427032470703,4.174356937408447,2e-07,1.087128667031765,0.016056860331445932,5.785873486274795e-05,0.0003150071406707866,0.0015728282451163977
32,32,4.1742143630981445,4.17428731918335,2e-07,1.0912730881561232,0.01607576897367835,5.7321739745930245e-05,0.00031491333993471926,0.0015737757785245776
33,33,4.17445707321167,4.174366474151611,2e-07,1.0940612738130358,0.01603379100561142,5.883431185793597e-05,0.00031518702508037677,0.0015742118703201413
34,34,4.174332141876221,4.174354553222656,2e-07,1.0959335246477433,0.016061889939010143,5.736984019222291e-05,0.00031504189610132016,0.0015751570754218847
35,35,4.17440128326416,4.174162864685059,2e-07,1.1001743582467232,0.016032277140766382,5.793101206563733e-05,0.0003152675726596499,0.0015719466609880328
36,36,4.174326419830322,4.1742329597473145,2e-07,1.0441110823322746,0.01605419162660837,5.7379992654205125e-05,0.0003150571610603947,0.001574488152982667
37,37,4.174479007720947,4.174321174621582,2e-07,1.0507969265113624,0.01609109155833721,5.895200354189001e-05,0.00031499711712967837,0.0015747465949971229
38,38,4.174246311187744,4.174330234527588,2e-07,1.057183233602742,0.016081613954156637,5.891420653370005e-05,0.000314911761051917,0.001572868088260293
39,39,4.174232006072998,4.174304008483887,2e-07,1.0648667636794122,0.016091695986688137,5.700578935829981e-05,0.0003151093842461705,0.001573786692460999
40,40,4.174435615539551,4.174506664276123,2e-07,1.073702752154871,0.016066960990428925,5.756651262345258e-05,0.0003150458251184318,0.0015730720770079643
41,41,4.17432165145874,4.174304008483887,2e-07,1.0808990731966155,0.016075781546533108,5.7677508152664814e-05,0.0003150667471345514,0.0015738668153062463
42,42,4.174446105957031,4.174373149871826,2e-07,1.0879038557985812,0.016064167954027653,5.9332417663426895e-05,0.0003150864013150567,0.0015724858676549047
43,43,4.174441337585449,4.174312114715576,2e-07,1.0911091175573329,0.016063678078353405,5.9968195273540914e-05,0.0003150544862364768,0.00157383136684075
44,44,4.174320220947266,4.17425537109375,2e-07,1.0927280439273621,0.016062737442553043,5.788652629235003e-05,0.0003148823807350709,0.0015734990302007645
45,45,4.174369812011719,4.17434024810791,2e-07,1.096933055026958,0.01608541375026107,5.8796313965103764e-05,0.0003150019456370501,0.0015741904207970947
46,46,4.174439430236816,4.174319267272949,2e-07,1.0999437454015943,0.016045354772359133,5.79655562660264e-05,0.00031505973220191663,0.0015733170148450881
47,47,4.17453670501709,4.174377918243408,2e-07,1.1017761119163545,0.016088843811303377,5.8075556012227025e-05,0.0003150639231535024,0.0015736896893940866
48,48,4.174261569976807,4.174266338348389,2e-07,1.1055523297744425,0.01605781400576234,5.7463631264909054e-05,0.00031504583876085235,0.001572927663801238
49,49,4.1742682456970215,4.174391269683838,2e-07,1.106254159746619,0.01603303011506796,5.793067577997135e-05,0.000315060734465078,0.0015722855168860406
50,50,4.174339294433594,4.174378871917725,2e-07,1.107857278497323,0.016042775008827448,5.8080239000446454e-05,0.00031511477573076263,0.001573722664033994
51,51,4.174323081970215,4.174299716949463,2e-07,1.1103475523918973,0.016064651776105165,5.93402382946806e-05,0.0003149936428599176,0.001571583707118407
52,52,4.174392223358154,4.174276828765869,2e-07,1.1120657594354664,0.016087023075670004,5.777520766514499e-05,0.0003150191960230586,0.0015741991810500622
53,53,4.174379348754883,4.174246311187744,2e-07,1.113758778112531,0.016050313133746386,5.6940408057926106e-05,0.00031516798753727926,0.001572402339661494
54,54,4.174258708953857,4.174297332763672,2e-07,1.1147857013317743,0.016081049107015133,5.858660824742401e-05,0.0003151069568048115,0.001572024164488539
55,55,4.174324035644531,4.174338340759277,2e-07,1.1151179833321596,0.016053364612162113,5.8420251093593834e-05,0.00031496412248088745,0.001572383043821901
56,56,4.174326419830322,4.174343109130859,2e-07,1.116955346814631,0.016068242955952883,5.798494260034204e-05,0.0003149998101434903,0.0015731042658444494
57,57,4.174344539642334,4.174442291259766,2e-07,1.1206948915952797,0.016046762000769377,5.7941609270528716e-05,0.00031506575396633707,0.0015745675191283226
58,58,4.174339294433594,4.174327850341797,2e-07,1.1228727536138219,0.016073246020823717,5.718001921195537e-05,0.0003150832671963144,0.0015750324819236994
59,59,4.174280166625977,4.174355506896973,2e-07,1.1248403206390436,0.016062604263424873,5.7961079050983244e-05,0.0003152445842715679,0.0015744181000627577
60,60,4.174217224121094,4.17431116104126,2e-07,1.125390326086601,0.016047555953264236,5.971515577130049e-05,0.0003150196116621373,0.0015743733965791762
61,61,4.174319267272949,4.174273490905762,2e-07,1.1256391833273949,0.016049588564783335,5.940570724760619e-05,0.0003151744849674287,0.0015719752991572022
62,62,4.174365520477295,4.174283504486084,2e-07,1.12480418153109,0.016075072810053825,5.7472012031212216e-05,0.0003149927088088589,0.0015720461960881948
63,63,4.174230098724365,4.174271583557129,2e-07,1.1253373784455887,0.016056102234870195,5.753129062213702e-05,0.0003151016899209935,0.0015739634109195322
64,64,4.1742963790893555,4.174349308013916,2e-07,1.1261865194117822,0.016048354096710682,5.767663515143795e-05,0.000315218033392739,0.001575176022015512
65,65,4.174281120300293,4.174347400665283,2e-07,1.12726252224796,0.016034488566219807,5.9522853007365484e-05,0.00031513202247879235,0.00157032412244007
66,66,4.174350261688232,4.174332618713379,2e-07,1.1285342975644788,0.01606648974120617,5.8695610732684145e-05,0.00031515064256382175,0.0015732038591522723
67,67,4.174407482147217,4.174222469329834,2e-07,1.1289668642770636,0.016028738114982843,5.881752974801202e-05,0.00031523539837507997,0.001572269800817594
68,68,4.174296855926514,4.174283981323242,2e-07,1.1279928608414915,0.016055785585194826,5.859561974830285e-05,0.0003151730252284324,0.0015740862872917205
69,69,4.174339771270752,4.174200534820557,2e-07,1.1276005192498297,0.016043473035097122,5.863705268893682e-05,0.00031524590031040134,0.001573066198034212
70,70,4.174328327178955,4.174396514892578,2e-07,1.1261320447992127,0.016070479061454535,5.849532885804365e-05,0.0003151829787384486,0.001573188230395317
71,71,4.174383640289307,4.174327850341797,2e-07,1.1270669056683102,0.01605054223909974,5.896385459891462e-05,0.0003152116523779114,0.0015739558730274439
72,72,4.174363613128662,4.174173831939697,2e-07,1.1258598398873385,0.016064981929957867,5.815075815007731e-05,0.0003150337515762658,0.0015744554693810642
73,73,4.174436569213867,4.174247741699219,2e-07,1.1255220137958415,0.01605424750596285,5.843684834871965e-05,0.00031516670605924446,0.0015725323173683137
74,74,4.174464702606201,4.174287796020508,2e-07,1.1261302140715759,0.016056827269494534,6.062579791432654e-05,0.0003151173632431892,0.001573447632836178
75,75,4.174342632293701,4.1742777824401855,2e-07,1.1273694419965534,0.01604046579450369,5.802116231734544e-05,0.00031509673499385826,0.0015721618838142604
76,76,4.174321174621582,4.174280643463135,2e-07,1.1293785438916337,0.01605964032933116,5.7963075960287824e-05,0.00031527832743449835,0.0015753534389659762
77,77,4.174247741699219,4.174239635467529,2e-07,1.1294569224196942,0.01605263724923134,5.832991973875323e-05,0.00031527596183877904,0.001573793066199869
78,78,4.174324989318848,4.174281120300293,2e-07,1.128090923394371,0.016077750362455845,5.842582879722613e-05,0.00031506913819612237,0.0015724315599072725
79,79,4.174322128295898,4.174331188201904,2e-07,1.127586314563122,0.016106888186186552,5.957913924703462e-05,0.0003151109003738384,0.001574040245031938
80,80,4.174323081970215,4.174325466156006,2e-07,1.1282226838628542,0.01607212144881487,6.044905182989169e-05,0.0003150406373606529,0.0015742942050565034
81,81,4.17416524887085,4.1742777824401855,2e-07,1.1294645384099933,0.016074656508862972,5.995043443363102e-05,0.0003151608252665028,0.001572285167640075
82,82,4.174262046813965,4.174405574798584,2e-07,1.1288644613490684,0.016036711167544127,5.9898340055042354e-05,0.00031521774963039206,0.0015727634890936315
83,83,4.174190998077393,4.174395561218262,2e-07,1.12979467476257,0.016067757736891508,5.9287714520905865e-05,0.0003152659428451443,0.0015745084965601563
84,84,4.174319267272949,4.174290657043457,2e-07,1.1293471169446714,0.016086994670331478,5.833807858834916e-05,0.0003151897135467152,0.0015750712773296982
85,85,4.174444198608398,4.174407482147217,2e-07,1.1295654585207424,0.016047050710767508,5.938009758210683e-05,0.00031516418857790995,0.0015706771227996796
86,86,4.174365997314453,4.174369812011719,2e-07,1.1290433153144315,0.0160455578006804,5.9476202864061634e-05,0.0003151388709738967,0.001572676788782701
87,87,4.174299240112305,4.174313068389893,2e-07,1.1281500582984532,0.016101974993944168,5.829845326843497e-05,0.00031519322237727465,0.0015724243421573192
88,88,4.174517631530762,4.174254894256592,2e-07,1.1288012560614589,0.016061104368418455,5.9033237675976125e-05,0.00031521604523732094,0.0015718778886366636
89,89,4.174252986907959,4.174369812011719,2e-07,1.1274442028769265,0.01609066827222705,5.973581903617742e-05,0.00031524185669695726,0.0015747984289191663
90,90,4.174372673034668,4.174284934997559,2e-07,1.126833912249765,0.01608100300654769,5.7715655543688626e-05,0.0003152853905703523,0.0015741496754344553
91,91,4.174197673797607,4.1742987632751465,2e-07,1.1253294978118882,0.016082412097603083,5.800017072488117e-05,0.00031518357172899414,0.0015743284893687814
92,92,4.174187183380127,4.174300670623779,2e-07,1.1232776508483375,0.016068587079644203,5.94132171727324e-05,0.0003152989193040412,0.0015732517058495432
93,93,4.174251079559326,4.174130916595459,2e-07,1.120348914000989,0.01604661298915744,6.073314762033988e-05,0.0003151656383124646,0.0015724387485533953
94,94,4.174309730529785,4.174298286437988,2e-07,1.0611503139723255,0.016046283300966024,5.9359220927035494e-05,0.0003153206653223606,0.001575911301188171
95,95,4.174286842346191,4.174311637878418,2e-07,1.0681432166971765,0.016052383463829756,5.927119241277978e-05,0.00031532675347989425,0.00157202931586653
96,96,4.174471378326416,4.174377918243408,2e-07,1.0748214927387378,0.016035033389925957,5.870713175681885e-05,0.00031530587421002565,0.0015741628885734826
97,97,4.174282073974609,4.174319744110107,2e-07,1.0813645461256254,0.01605138136073947,5.940045036822994e-05,0.00031534082063444657,0.0015725513512734324
98,98,4.174365043640137,4.174317359924316,2e-07,1.0866331080051628,0.016049534548074007,5.9717814451687445e-05,0.00031526478687737836,0.0015729443111922592
99,99,4.174346446990967,4.1743059158325195,2e-07,1.0897596418918825,0.0160666243173182,5.9498260270629544e-05,0.00031528883755527204,0.0015741316019557416
100,100,4.174328327178955,4.174380302429199,2e-07,1.0929482266157462,0.016056734137237072,5.958255007953994e-05,0.0003152375693389331,0.0015766813594382256
101,101,4.174227714538574,4.174361228942871,2e-07,1.095137742114874,0.016054071485996246,6.08139405358088e-05,0.0003153626403218368,0.0015738867223262787
102,102,4.174403190612793,4.174280643463135,2e-07,1.0991931780450925,0.016089295502752066,6.032716839854402e-05,0.00031540586678602267,0.0015758529189042747
103,103,4.174288749694824,4.1743574142456055,2e-07,1.1007852076117286,0.016034862026572227,5.981327808513015e-05,0.0003153346260660328,0.0015729712031316012
104,104,4.17441987991333,4.174391269683838,2e-07,1.1029791250076448,0.016047324985265732,5.927986524056905e-05,0.00031540688087261515,0.001576697948621586
105,105,4.174254894256592,4.174295902252197,2e-07,1.105995624667787,0.01606950582936406,5.932579381351388e-05,0.00031523437246505637,0.0015739588416181505
106,106,4.174290657043457,4.174302101135254,2e-07,1.1082168141348578,0.01604533940553665,5.9524488051465596e-05,0.00031527823557553347,0.001573681947775185
107,107,4.1744065284729,4.174331188201904,2e-07,1.1099213325241721,0.01607239991426468,5.976583406663849e-05,0.0003153387233396643,0.0015747622237540781
108,108,4.174387454986572,4.174281120300293,2e-07,1.110612079785096,0.016043392475694418,6.060934299512155e-05,0.00031525113536190474,0.0015746896679047495
109,109,4.174233436584473,4.174424171447754,2e-07,1.112147706916847,0.01607995806261897,5.861738179646636e-05,0.0003153633088004426,0.0015737636422272772
110,110,4.174221992492676,4.174333572387695,2e-07,1.1143759231468913,0.016045140102505684,6.091287468734663e-05,0.0003152757917632698,0.0015725806297268718
111,111,4.174358367919922,4.174366474151611,2e-07,1.1143330718189353,0.01605144888162613,5.9690267221412796e-05,0.0003152604531351244,0.0015739600930828601
112,112,4.17440938949585,4.174188137054443,2e-07,1.1157481772863946,0.01606366690248251,6.04166633593195e-05,0.00031544490320811747,0.001574424299178645
113,113,4.174399375915527,4.174354553222656,2e-07,1.1161181273495329,0.01607098337262869,6.043639939434797e-05,0.00031536030292045325,0.0015728751313872635
114,114,4.174368858337402,4.17437219619751,2e-07,1.117330719073247,0.016057859640568495,6.027179711054487e-05,0.00031559355011268053,0.0015708894934505224
115,115,4.17422342300415,4.1741719245910645,2e-07,1.118025831696589,0.01606587041169405,6.016146755882801e-05,0.00031544724879495334,0.001575015950948
116,116,4.174396514892578,4.174216270446777,2e-07,1.1182600444507131,0.016052772291004658,6.05341581376706e-05,0.0003154205533064669,0.0015735471388325095
117,117,4.1743574142456055,4.174288272857666,2e-07,1.1180173058302931,0.01605369569733739,6.15250999089767e-05,0.0003154593805447803,0.0015710522420704365
118,118,4.174352645874023,4.174299240112305,2e-07,1.1189596787520846,0.01607928005978465,5.951323419139953e-05,0.00031546227728540543,0.001575060363393277
119,119,4.174221992492676,4.17424201965332,2e-07,1.1202104662914512,0.01606753747910261,6.0688851817758405e-05,0.00031544053672405425,0.0015747382130939513
120,120,4.17437744140625,4.174266815185547,2e-07,1.1222530092618224,0.016051608603447676,6.109998810188699e-05,0.00031550209769193316,0.0015741602692287415
121,121,4.174182891845703,4.1743574142456055,2e-07,1.1235852878669221,0.016071573831140995,6.086753023737401e-05,0.0003153696006847895,0.0015739772352389991
122,122,4.174206733703613,4.1742844581604,2e-07,1.1227330093723045,0.016070737037807703,6.056109270957677e-05,0.000315531317028217,0.0015766989381518215
123,123,4.174355506896973,4.174228668212891,2e-07,1.1223361956222395,0.016064283903688192,5.9931976238658535e-05,0.0003154392707074294,0.001574310241267085
124,124,4.1742753982543945,4.174221992492676,2e-07,1.1221013084940237,0.01605441840365529,6.0933491340620094e-05,0.0003154207561237854,0.001574106077896431
125,125,4.174396514892578,4.174211025238037,2e-07,1.1231361543763803,0.01607807306572795,6.086210305511486e-05,0.0003154926671413705,0.0015736633504275233
126,126,4.174220561981201,4.174259662628174,2e-07,1.1224425648714658,0.016081030014902353,6.157921825433732e-05,0.00031567085807182593,0.0015756958164274693
127,127,4.174241542816162,4.174272060394287,2e-07,1.1233671093624582,0.016048851422965527,6.10451028251191e-05,0.0003155902613798389,0.0015742374234832823
128,128,4.174335479736328,4.1742167472839355,2e-07,1.1232336397131857,0.01607333542779088,6.110919923685287e-05,0.00031548214428767096,0.0015746816934552044
129,129,4.174346446990967,4.174220561981201,2e-07,1.1225563547421855,0.016054228879511356,6.134251543699065e-05,0.00031558274258713936,0.0015732201281934977
130,130,4.1743621826171875,4.174261569976807,2e-07,1.1239043064990255,0.01605147495865822,6.140918969776976e-05,0.0003155356589559233,0.0015741883835289627
131,131,4.174408435821533,4.174272537231445,2e-07,1.1231865312865412,0.01603355072438717,6.192834621288057e-05,0.0003156353868689621,0.0015711419400759041
