step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.174304962158203,4.17425012588501,0.02,-100.0
1,1,4.174283981323242,4.174383640289307,0.02,-100.0,0.015915396623313427,5.630610542084469e-05,0.00031731981925986474,0.0006956293218536302
2,2,4.171055316925049,4.171052932739258,0.02,-100.0,0.015912072733044624,5.827374354794301e-05,0.0003173746845277492,0.0006967405934119597
3,3,4.167330741882324,4.167669296264648,0.02,-100.0,0.01596166379749775,0.0018838308205886278,0.001906004770717118,0.0017910835158545524
4,4,4.161304473876953,4.160483360290527,0.02,-100.0,0.01666364772245288,0.0036893619981128722,0.0037395582912722602,0.004752058768644929
5,5,4.152884483337402,4.154044151306152,0.02,-100.0,0.01859565358608961,0.005564221151871607,0.005653636035276577,0.009502990171313286
6,6,4.140735149383545,4.144556522369385,0.02,0.8491166201902385,0.02262156130746007,0.0077761349093634635,0.007897725474322215,0.016448874957859516
7,7,4.1259236335754395,4.129188060760498,0.02,0.8598761987531838,0.02927430672571063,0.01009113815962337,0.01023644080851227,0.025748596526682377
8,8,4.117969989776611,4.115411281585693,0.02,0.8660899207286956,0.03834198135882616,0.012299706460908055,0.01246404106495902,0.0375431664288044
9,9,4.08601713180542,4.093080043792725,0.02,0.8733857550247155,0.049433011561632156,0.014423332613660023,0.01460651817615144,0.052034929394721985
10,10,4.086403846740723,4.073534965515137,0.02,0.8736857152389186,0.06282098405063152,0.01649212872143835,0.016686482296790928,0.06933112256228924
11,11,4.038887023925781,4.051782608032227,0.02,0.8825593982191342,0.0772903747856617,0.018454348435625434,0.018653639184776694,0.0896324273198843
12,12,4.015612602233887,4.013797283172607,0.02,0.8930626536270757,0.09330440498888493,0.020260124234482646,0.020459621562622488,0.11301989294588566
13,13,4.00089168548584,3.985536575317383,0.02,0.8874058586338875,0.11024155467748642,0.02192287560319528,0.02212443994358182,0.13951917737722397
14,14,3.9683918952941895,3.9503817558288574,0.02,0.8908846121825165,0.1284739449620247,0.023478495597373694,0.023672408191487193,0.16932470351457596
15,15,3.9135029315948486,3.9230737686157227,0.02,0.8940791672913564,0.1478131152689457,0.024954989086836576,0.02513283205917105,0.20242132246494293
16,16,3.870877265930176,3.8760313987731934,0.02,0.8957548496956983,0.167388416826725,0.02634603378828615,0.02651503583183512,0.23884597048163414
17,17,3.8618927001953125,3.8578903675079346,0.02,0.9019312191670151,0.18966154381632805,0.02768206043401733,0.027836469293106347,0.2787867411971092
18,18,3.8020577430725098,3.7895379066467285,0.02,0.9089087063523259,0.20741866528987885,0.02900103759020567,0.029116207850165665,0.32198382169008255
19,19,3.7812771797180176,3.7782607078552246,0.02,0.9030700962202203,0.23045363649725914,0.03028512472519651,0.03037768043577671,0.36845488101243973
20,20,3.7074830532073975,3.7452094554901123,0.02,0.905423013996763,0.251818910241127,0.031557713577058166,0.03159870702074841,0.41783394664525986
