step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.174136161804199,4.174201965332031,0.02,-100.0
1,1,4.174432754516602,4.174257278442383,0.02,-100.0,0.016141885425895452,5.6337699476216585e-05,0.0003178613947056874,0.0011739553010556847
2,2,4.17005729675293,4.170167922973633,0.02,-100.0,0.016124906484037638,5.709975607715023e-05,0.0003178681583904108,0.0011734156287275255
3,3,4.166081428527832,4.166271686553955,0.02,-100.0,0.01616082852706313,0.0019286428023406188,0.0019503671246638987,0.002303870511241257
4,4,4.161770820617676,4.160239219665527,0.02,-100.0,0.016825692262500525,0.003305812822873122,0.0033474915162514662,0.00506739248521626
5,5,4.152194023132324,4.152008056640625,0.02,-100.0,0.01872578077018261,0.004554443348752102,0.004619260722392937,0.009714154293760657
6,6,4.142024040222168,4.139971733093262,0.02,0.9124196284325062,0.02268626494333148,0.005884449557925109,0.005965370055491803,0.016512833070009947
7,7,4.131739139556885,4.131725311279297,0.02,0.9042278366636143,0.0290744137018919,0.007304997448954964,0.0074014123529195786,0.02578076347708702
8,8,4.108652114868164,4.1102495193481445,0.02,0.8993160747276886,0.037933215498924255,0.008671238829265349,0.008785762402112596,0.037456507794559
9,9,4.08668327331543,4.105985164642334,0.02,0.8902114631783574,0.04887931142002344,0.009936858805303928,0.010067122704640497,0.05185157340019941
10,10,4.0717010498046875,4.068892478942871,0.02,0.892357913314998,0.06167430430650711,0.011142271709104534,0.011285866967227776,0.06907303258776665
11,11,4.038969993591309,4.04459285736084,0.02,0.8952368153684926,0.07619154080748558,0.01228172796254512,0.012434684416803066,0.0892584789544344
12,12,4.010220050811768,4.017358779907227,0.02,0.8982198578595644,0.09195269271731377,0.013333836068341043,0.013499202868842985,0.11248605325818062
13,13,3.9853365421295166,3.987030029296875,0.02,0.9009114004413489,0.10951606370508671,0.01429355036088964,0.01447045889653964,0.13880488649010658
14,14,3.9479193687438965,3.988002300262451,0.02,0.8943217555720309,0.12734228745102882,0.015140227878873702,0.015330939982959535,0.16835033521056175
15,15,3.9238409996032715,3.916513681411743,0.02,1.1170849808659855,0.14681514352560043,0.015881221828749403,0.016083483380498365,0.20116118341684341
16,16,3.8850607872009277,3.929062604904175,0.02,1.0755887917296425,0.16597598791122437,0.016567410741117783,0.016783434330136515,0.2372167706489563
17,17,3.8468079566955566,3.8492257595062256,0.02,1.2836593784456205,0.18615226447582245,0.017224042137968354,0.017458006215747446,0.27666545659303665
18,18,3.795020580291748,3.8250253200531006,0.02,1.2456026735816144,0.20757198706269264,0.01782308802648913,0.01807223752257414,0.31961865723133087
19,19,3.771019458770752,3.8330836296081543,0.02,1.2134853228779223,0.22784500196576118,0.01835922442842275,0.018621820243424736,0.3657507598400116
20,20,3.7298171520233154,3.701974391937256,0.02,1.4170218836344362,0.24899722635746002,0.018860011972719803,0.01913756270369049,0.4150252863764763
