step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.174224853515625,4.174115180969238,0.0002,-100.0
1,1,4.17423152923584,4.174084663391113,0.0002,-100.0,0.01567340176552534,5.7267549436801346e-05,0.0003176265017827973,0.0011795408208854496
2,2,4.174065589904785,4.174098014831543,0.0002,-100.0,0.01566744688898325,5.649408558383584e-05,0.0003174084486090578,0.0011811777367256582
3,3,4.1741862297058105,4.174140930175781,0.0002,-100.0,0.015644320286810398,5.913965151194134e-05,0.0003180202911607921,0.0011809830903075635
4,4,4.1740264892578125,4.174015998840332,0.0002,-100.0,0.015653239795938134,7.386427478195401e-05,0.0003209618080290966,0.0011798687337432057
5,5,4.17406702041626,4.1739397048950195,0.0002,-100.0,0.015647683525457978,0.00011506903410918312,0.0003300622083770577,0.001180484046926722
6,6,4.1740241050720215,4.173910140991211,0.0002,0.6109628109259614,0.01564738480374217,0.00017734059838403482,0.0003500384482322261,0.0011849348375108093
7,7,4.173935413360596,4.174006462097168,0.0002,0.6151392209363429,0.015651410911232233,0.0002569955395301804,0.00038498450157931075,0.0011891228496097028
8,8,4.173881530761719,4.173649787902832,0.0002,0.7263753657426647,0.015662493649870157,0.00034814904574886896,0.0004387221051729284,0.0011934069043491036
9,9,4.173664093017578,4.1736345291137695,0.0002,0.7132052807422373,0.01565895415842533,0.00045144653631723486,0.0005120132409501821,0.0012034853862132877
10,10,4.173520088195801,4.173522472381592,0.0002,0.702878058907109,0.015688426326960325,0.0005660939568770118,0.0006061429812689312,0.001212602132000029
11,11,4.173392295837402,4.173353672027588,0.0002,0.6977209020887006,0.015692029614001513,0.0006890290605952032,0.0007176566359703429,0.001226894004503265
12,12,4.173321723937988,4.173247337341309,0.0002,0.692022023518378,0.01570815546438098,0.0008215570342144929,0.0008437382202828303,0.001247673702891916
13,13,4.173114776611328,4.173150062561035,0.0002,0.6888787102949726,0.01573103480041027,0.0009617939722375013,0.0009826975729083642,0.0012705698027275503
14,14,4.172911643981934,4.172977447509766,0.0002,0.6812687562716966,0.01573679083958268,0.0011098511167801917,0.0011300654587103054,0.0013033565192017704
15,15,4.172832012176514,4.1727190017700195,0.0002,0.6744627938140846,0.015750962309539318,0.0012649311393033713,0.0012864515883848071,0.0013452344574034214
16,16,4.172521591186523,4.172642707824707,0.0002,0.6681942697788626,0.01576509652659297,0.0014263204648159444,0.0014495948853436857,0.0013941477227490395
17,17,4.172287464141846,4.172427177429199,0.0002,0.6624595939164668,0.01579599967226386,0.0015956965507939458,0.0016205863939831033,0.0014589312195312232
18,18,4.172063827514648,4.1721601486206055,0.0002,0.6563149737206111,0.015845096204429865,0.0017713824927341193,0.0017979244439629838,0.0015302702086046338
19,19,4.171811103820801,4.172027587890625,0.0002,0.6573877401642142,0.015862852800637484,0.0019519919442245737,0.0019808889483101666,0.0016224900900851935
20,20,4.171745777130127,4.17169189453125,0.0002,0.6579401041278948,0.015903047285974026,0.002137393254088238,0.0021695278701372445,0.0017216899723280221
21,21,4.17141580581665,4.171384811401367,0.0002,0.6584674157093438,0.015967584680765867,0.002327616821276024,0.0023624211899004877,0.0018483613093849272
22,22,4.171103000640869,4.17116641998291,0.0002,0.6584174652761043,0.015996568836271763,0.002520963840652257,0.002559769374784082,0.0019919740734621882
23,23,4.170852184295654,4.170832633972168,0.0002,0.659108847681791,0.016052728984504938,0.002717231953283772,0.0027610115648712963,0.00214472902007401
