step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.174201011657715,4.174261093139648,0.002,-100.0
1,1,4.171577453613281,4.171635627746582,0.002,-100.0,0.016027023550122976,6.31037660241418e-05,0.00031559741364617366,0.00120351611985825
2,2,4.169465065002441,4.1691575050354,0.002,-100.0,0.016167668625712395,0.002047111469437368,0.0020559955009957775,0.0016490070847794414
3,3,4.1663689613342285,4.167182922363281,0.002,-100.0,0.016554647125303745,0.003746699876501225,0.0037863016332266852,0.003083665913436562
4,4,4.163820743560791,4.1646647453308105,0.002,-100.0,0.017136871349066496,0.0054815726762171835,0.005573767877649516,0.004802190698683262
5,5,4.163013458251953,4.1626482009887695,0.002,-100.0,0.017849143128842115,0.007236329838633537,0.007361506985034794,0.0066774795996025205
6,6,4.160090446472168,4.160444259643555,0.002,0.7555956565722864,0.01864400552585721,0.009097931673750281,0.009293396200519055,0.008595347637310624
7,7,4.157574653625488,4.158267021179199,0.002,0.7479504976495068,0.01955589186400175,0.01093836996005848,0.011184116709046066,0.010546412086114287
8,8,4.156929969787598,4.156529426574707,0.002,0.7472342440263017,0.020612364169210196,0.012913769634906203,0.013226511422544718,0.012514824513345957
9,9,4.152257919311523,4.153840065002441,0.002,0.7488693204813844,0.02174297906458378,0.01492531318217516,0.01527925132540986,0.014490933855995536
10,10,4.1511688232421875,4.151015281677246,0.002,0.7493585606570112,0.022972885984927416,0.016950350138358772,0.017374319024384022,0.016480217687785625
11,11,4.1504926681518555,4.150245666503906,0.002,0.7491641117208764,0.02427075570449233,0.019001936190761626,0.019492509658448398,0.018483371008187532
12,12,4.147241592407227,4.147060871124268,0.002,0.7492003646751784,0.02570767654106021,0.021091871079988778,0.021663453080691397,0.02052388619631529
13,13,4.144002914428711,4.143998622894287,0.002,0.7493463458394924,0.027230628300458193,0.023176814196631312,0.023840914014726877,0.022599835880100727
14,14,4.143148422241211,4.143845558166504,0.002,0.7507832663361061,0.028750835452228785,0.025283382390625775,0.026028658146969974,0.024714580737054348
15,15,4.137811183929443,4.138156414031982,0.002,0.7507955462835142,0.030383048113435507,0.02739123289939016,0.028219649218954146,0.02685406804084778
16,16,4.137732028961182,4.139041900634766,0.002,0.7514960856994217,0.03194359224289656,0.029514863388612866,0.0304299951530993,0.029011938255280256
17,17,4.134594917297363,4.135656356811523,0.002,0.8905479590309658,0.033569217659533024,0.03162258886732161,0.03263315511867404,0.03117791237309575
18,18,4.131229877471924,4.134789943695068,0.002,0.8704188938139673,0.03544254042208195,0.033735054545104504,0.03483965783379972,0.03336684126406908
19,19,4.130606651306152,4.130126476287842,0.002,0.851806234547862,0.03720325045287609,0.03587682684883475,0.037085090298205614,0.03557256795465946
20,20,4.130963325500488,4.1289191246032715,0.002,0.8361862189781447,0.038967834785580635,0.03803027141839266,0.03934168233536184,0.03780254349112511
