step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.2690815925598145,4.267695903778076,1e-05,-100.0
1,1,4.2648162841796875,4.274972915649414,1e-05,-100.0,0.016027023550122976,0.043971730570774525,0.08723597601056099,0.2659170851111412
2,2,4.286523342132568,4.288606643676758,1e-05,-100.0,0.016058357432484627,0.043450272001791745,0.08716525975614786,0.26513512432575226
3,3,4.261749267578125,4.260717391967773,1e-05,-100.0,0.016044029034674168,0.04411265527596697,0.08704225299879909,0.2640220746397972
4,4,4.233871936798096,4.252083778381348,1e-05,-100.0,0.016034471802413464,0.0444836700335145,0.08728588884696364,0.262089341878891
5,5,4.244158744812012,4.213849067687988,1e-05,-100.0,0.01604153821244836,0.043787532835267484,0.08738813968375325,0.2612967938184738
6,6,4.216757774353027,4.199289321899414,1e-05,2.224331109434134,0.016048532910645008,0.044131410715635866,0.08719596173614264,0.26350050419569016
7,7,4.183722972869873,4.166053295135498,1e-05,2.225734274579066,0.01603666739538312,0.04386633698595688,0.08711699396371841,0.2627568691968918
8,8,4.161815643310547,4.160265922546387,1e-05,2.227784979341376,0.01604831125587225,0.04391634778585285,0.08729501953348517,0.26433009654283524
9,9,4.072717189788818,4.118220329284668,1e-05,2.2318903401786554,0.016053160186856985,0.043251232244074345,0.08740893984213471,0.26211512833833694
10,10,4.068899631500244,4.081589698791504,1e-05,2.2416898538585888,0.01605087984353304,0.043375704961363226,0.08750286651775241,0.2651594281196594
