step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.186625957489014,4.20231294631958,0.001,-100.0
1,1,3.660165309906006,3.684340476989746,0.001,-100.0,0.016381185967475176,0.06162339079310186,0.08815555286128074,0.2973639518022537
2,2,3.5331356525421143,3.530784845352173,0.001,-100.0,0.016399465035647154,0.08451758333831094,0.10294885688927025,0.3624776676297188
3,3,3.34060001373291,3.5277271270751953,0.001,-100.0,0.016464996617287397,0.14137760567246005,0.22083501098677516,0.5545189678668976
4,4,3.2940430641174316,3.3857550621032715,0.001,-100.0,0.01650805165991187,0.1775284438044764,0.2923701722174883,0.6961542218923569
5,5,3.355562210083008,3.4523584842681885,0.001,-100.0,0.0165768601000309,0.212607727793511,0.36280337255448103,0.8200255632400513
6,6,3.398221254348755,3.300529956817627,0.001,3.121435433406774,0.01662942348048091,0.249048016150482,0.43512331089004874,0.9428767561912537
7,7,3.3321871757507324,3.404493808746338,0.001,3.1213408578285704,0.016725299414247274,0.28465792955830693,0.5044928286224604,1.0396075546741486
8,8,3.3383913040161133,3.4559309482574463,0.001,3.122369753596942,0.016782857943326235,0.3179807181004435,0.5684851389378309,1.1293459236621857
9,9,3.40519380569458,3.2815401554107666,0.001,3.122670653065064,0.016849374398589134,0.35081523191183805,0.6302052782848477,1.2197580635547638
10,10,3.3506906032562256,3.3290228843688965,0.001,3.124218970099692,0.016912448219954967,0.38163162604905665,0.6877001230604947,1.300568550825119
