step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.212109088897705,4.238397598266602,0.011,-100.0
1,1,3.532989263534546,3.580029010772705,0.011,-100.0,0.015671007335186005,0.02944408997427672,0.08936570398509502,0.2618672400712967
2,2,4.792145252227783,4.744600296020508,0.011,-100.0,0.017986790742725134,0.18604032509028912,0.39723673462867737,0.5528630465269089
3,3,4.806274890899658,4.923038482666016,0.011,-100.0,0.022209273651242256,1.4942196235060692,2.9691717624664307,0.5823631286621094
4,4,4.624798774719238,4.62515115737915,0.011,-100.0,0.028337561525404453,6.595414161682129,15.264404535293579,4.7196996212005615
5,5,4.928828716278076,5.236218452453613,0.011,-100.0,0.031211487483233213,11.724401235580444,12.233826756477356,2.0843420326709747
6,6,4.576666831970215,4.584177017211914,0.011,1.6407599591601867,0.034504436887800694,23.763073682785034,52.872138023376465,3.9756404161453247
7,7,4.666086196899414,4.625190734863281,0.011,1.6424875827903367,0.037545050494372845,40.510769844055176,76.0738115310669,3.3154025077819824
8,8,4.905774116516113,5.302834987640381,0.011,1.65191408378871,0.04108415823429823,58.93050146102905,98.69218826293945,3.051344931125641
9,9,5.623751640319824,5.737364768981934,0.011,1.6604238239096063,0.04419998079538345,78.08396530151367,130.7921600341797,3.1003647446632385
10,10,6.409317493438721,6.464991569519043,0.011,1.6751310823630703,0.04688481613993645,96.34199619293213,169.76574325561523,3.4687101244926453
11,11,6.238240718841553,6.514543533325195,0.011,1.6878736463548156,0.051243665628135204,122.79574680328369,222.4376926422119,4.008414387702942
12,12,6.340166091918945,6.462255477905273,0.011,1.6925323270180974,0.05483630578964949,149.57819175720215,284.7500762939453,4.609233498573303
13,13,6.21917724609375,6.265852451324463,0.011,1.6965772478849723,0.057477246038615704,176.80389976501465,349.66246795654297,5.157249689102173
14,14,6.413780689239502,6.703035354614258,0.011,1.7002073680485656,0.05942011997103691,204.00159454345703,421.50735092163086,5.5370800495147705
15,15,6.196976661682129,6.335948467254639,0.011,1.703188044335843,0.06263652443885803,238.72086715698242,514.0746421813965,5.693437099456787
16,16,5.8274312019348145,5.704385280609131,0.011,1.7151228661215774,0.06494073756039143,275.21313095092773,588.813117980957,5.601632118225098
17,17,5.755957126617432,5.81974983215332,0.011,1.7225541673074658,0.06853542104363441,314.1497268676758,706.3276824951172,5.198529005050659
18,18,5.077872276306152,5.101203918457031,0.011,1.730723745094841,0.070701127871871,365.02784729003906,806.2424621582031,4.742598056793213
19,19,5.027261257171631,5.141499996185303,0.011,1.7402286343467954,0.07204784266650677,414.90858459472656,892.9571914672852,4.435355186462402
20,20,4.819666385650635,4.826606750488281,0.011,1.7486991594662469,0.07493565231561661,467.97352600097656,1008.6250381469727,3.928398847579956
21,21,4.990926742553711,5.323210716247559,0.011,1.7508625434521423,0.07695683650672436,521.164234161377,1138.7228546142578,3.7079134583473206
22,22,5.062229156494141,4.988399982452393,0.011,1.7577434097038518,0.0784564595669508,571.4892959594727,1271.5154724121094,4.136953830718994
23,23,5.119231224060059,5.189850807189941,0.011,1.7640347517739712,0.08043812587857246,644.0430755615234,1382.3397064208984,4.244392275810242
24,24,5.1390252113342285,5.064918041229248,0.011,1.770097993743492,0.08079396933317184,731.1886291503906,1498.6668548583984,4.456084370613098
25,25,4.487308502197266,4.777836322784424,0.011,1.7719567027343281,0.08172645419836044,809.4781646728516,1625.265380859375,4.557928085327148
26,26,4.819845199584961,4.949042320251465,0.011,1.7741656304567033,0.08367162756621838,895.2718734741211,1730.324966430664,4.609498858451843
27,27,4.482231616973877,4.632839202880859,0.011,1.7793206099592385,0.08521398715674877,1000.7410202026367,1836.5549621582031,4.7306742668151855
28,28,4.292915344238281,4.425983428955078,0.011,1.7841529030657193,0.08418769389390945,1119.8846893310547,1955.4774932861328,4.820633292198181
29,29,4.8805742263793945,4.690912246704102,0.011,1.7913767372765659,0.08482712507247925,1223.319320678711,2099.4531860351562,4.389965295791626
30,30,4.373274326324463,4.5789690017700195,0.011,1.7941853480713994,0.0866698157042265,1322.4655456542969,2252.523162841797,4.172209024429321
31,31,4.288499355316162,4.268022060394287,0.011,1.797768444147683,0.08763908594846725,1451.7838134765625,2379.293212890625,4.147677659988403
32,32,3.9221432209014893,4.073716163635254,0.011,1.7951576863040755,0.08986693061888218,1597.8558197021484,2481.8536071777344,4.308240532875061
33,33,4.151227951049805,4.126590728759766,0.011,1.7964364290303112,0.08942842110991478,1758.2729797363281,2577.6368103027344,4.262729048728943
34,34,4.2592010498046875,4.2508111000061035,0.011,1.7990369109637143,0.09204236045479774,1932.5898895263672,2712.69677734375,4.160562038421631
35,35,3.9372963905334473,4.191807746887207,0.011,1.8094227202585893,0.09320934116840363,2098.8080444335938,2876.2337341308594,4.125732421875
36,36,3.950868844985962,4.062143325805664,0.011,1.8068451787693653,0.095760028809309,2242.981201171875,3075.2578125,4.327928900718689
37,37,4.000659465789795,3.919243574142456,0.011,1.8078081892526874,0.09605702012777328,2384.6800231933594,3203.8207397460938,4.408151149749756
38,38,3.9305098056793213,3.878124713897705,0.011,1.8174536980493163,0.09776729717850685,2578.3785400390625,3302.863525390625,4.3617799282073975
39,39,3.6526126861572266,3.7039835453033447,0.011,1.8159416959728367,0.09695037640631199,2767.7474365234375,3421.2706909179688,4.199914932250977
40,40,4.0172810554504395,3.8979523181915283,0.011,1.8137153034126867,0.09878993034362793,2893.312286376953,3607.502685546875,3.9612962007522583
41,41,3.658608913421631,3.646704912185669,0.011,1.8152860270192483,0.09891152568161488,3019.6728515625,3832.8875427246094,3.647217810153961
42,42,3.7715444564819336,3.61568284034729,0.011,1.8156450146576832,0.10182376764714718,3164.6524353027344,3982.9632568359375,3.3294145464897156
43,43,3.79789137840271,3.870755195617676,0.011,1.8118592695634599,0.10185245051980019,3352.7852478027344,4105.1268310546875,3.044051766395569
44,44,3.717092514038086,3.7802839279174805,0.011,1.8116007264295857,0.10130935348570347,3546.2498474121094,4274.827697753906,2.9162212014198303
45,45,3.487090587615967,3.4750328063964844,0.011,1.8130446212849298,0.10177541524171829,3783.524627685547,4385.9945068359375,2.8949461579322815
46,46,3.5336754322052,3.468569755554199,0.011,1.69176987296259,0.10262908227741718,3968.3165283203125,4565.275054931641,2.824514865875244
47,47,3.403872489929199,3.515443801879883,0.011,1.5877879120516765,0.10196220129728317,4130.318450927734,4787.288024902344,2.616128087043762
48,48,3.578615665435791,3.490034341812134,0.011,1.610718966559076,0.10382847301661968,4329.921875,5068.061676025391,2.537927031517029
49,49,3.475154161453247,3.802218198776245,0.011,1.6318911947396024,0.10644321329891682,4504.6983642578125,5352.745056152344,2.531132936477661
50,50,3.403076171875,3.4191112518310547,0.011,1.6461973966054497,0.10899868793785572,4702.85205078125,5582.082794189453,2.375403642654419
51,51,3.453233242034912,3.4696342945098877,0.011,1.5478085092454699,0.10890460200607777,4941.301940917969,5745.9517822265625,2.179549217224121
52,52,3.335247039794922,3.430793523788452,0.011,1.5736577532813176,0.11011945083737373,5151.727722167969,5909.989410400391,1.9522009193897247
53,53,3.405092239379883,3.4510984420776367,0.011,1.5972362187132179,0.11101537570357323,5421.75,6124.212646484375,1.777401328086853
54,54,3.3154892921447754,3.3497869968414307,0.011,1.6256798028806252,0.11424019746482372,5675.097961425781,6407.478729248047,1.6874850988388062
55,55,3.422880172729492,3.356600284576416,0.011,1.531496239346036,0.11709081567823887,5876.397521972656,6676.966552734375,1.6392500400543213
56,56,3.4536969661712646,3.4218943119049072,0.011,1.5567240878461954,0.11973520554602146,6115.498046875,6913.359680175781,1.651913046836853
57,57,3.2894701957702637,3.3139805793762207,0.011,1.5762273349504659,0.12411251664161682,6336.522277832031,7170.387268066406,1.7090917229652405
58,58,3.3706419467926025,3.3387534618377686,0.011,1.4857034665691553,0.12621808797121048,6518.699401855469,7478.0079345703125,1.7112256288528442
59,59,3.3273684978485107,3.3692209720611572,0.011,1.518799527804413,0.12858641892671585,6755.8302001953125,7798.635803222656,1.6480109095573425
60,60,3.400763750076294,3.3161702156066895,0.011,1.5465915777473693,0.13324417546391487,6931.444641113281,8088.40234375,1.6786097586154938
61,61,3.359516143798828,3.4640839099884033,0.011,1.5733179286111922,0.1355997771024704,7086.369201660156,8422.524841308594,1.6552365124225616
62,62,3.38211989402771,3.379694938659668,0.011,1.5965994322516233,0.1379607990384102,7255.97705078125,8726.739196777344,1.9272524118423462
63,63,3.3475513458251953,3.4320287704467773,0.011,1.6199507004448654,0.1415274776518345,7457.325866699219,9057.597045898438,1.7985415756702423
64,64,3.549988031387329,3.345560073852539,0.011,1.6347883341450427,0.14406761527061462,7680.616638183594,9299.967529296875,1.4780710637569427
65,65,3.295985221862793,3.4165351390838623,0.011,1.6463483239370993,0.147898368537426,7962.5087890625,9565.259704589844,1.8862987756729126
66,66,3.361337423324585,3.4136359691619873,0.011,1.662950419115791,0.15047401189804077,8208.271911621094,9958.99609375,1.5796034336090088
67,67,3.4374542236328125,3.484055757522583,0.011,1.677695199973822,0.15398212894797325,8356.710510253906,10469.173461914062,1.827038288116455
68,68,3.3878719806671143,3.367396831512451,0.011,1.6943095333978662,0.1577024795114994,8387.362915039062,10963.523742675781,2.358288586139679
69,69,3.325270175933838,3.2662084102630615,0.011,1.7085166146336521,0.16052906215190887,8638.907165527344,11463.051574707031,1.846359759569168
70,70,3.465270519256592,3.38417911529541,0.011,1.6009114017246688,0.16319724544882774,8845.467651367188,11914.119201660156,1.762122482061386
71,71,3.4449663162231445,3.321336269378662,0.011,1.6253033664014027,0.16472243145108223,8931.727172851562,12273.683715820312,1.3528272211551666
72,72,3.4334299564361572,3.447598457336426,0.011,1.640671207599246,0.16734681278467178,8964.739868164062,12780.121887207031,1.9764032065868378
73,73,3.3586390018463135,3.551884412765503,0.011,1.6548251420520952,0.16939188167452812,9087.331115722656,13371.172424316406,2.1301373839378357
74,74,3.332242965698242,3.2579426765441895,0.011,1.672319354033094,0.17072810605168343,9261.557556152344,13809.132568359375,1.5658513307571411
75,75,3.388441801071167,3.4696242809295654,0.011,1.5711892772764893,0.17075059935450554,9466.890380859375,13926.678833007812,1.5761850774288177
76,76,3.3530521392822266,3.3259999752044678,0.011,1.591778614023535,0.17414747923612595,9635.109130859375,13937.572937011719,2.052513301372528
77,77,3.2727701663970947,3.356513738632202,0.011,1.613976850173663,0.17175372317433357,9782.703369140625,14173.273803710938,1.409669667482376
78,78,3.384223461151123,3.3418822288513184,0.011,1.634610718347136,0.1731877662241459,9810.544311523438,14713.437927246094,2.0663630962371826
79,79,3.379251003265381,3.3157167434692383,0.011,1.654329639689227,0.1725611686706543,9851.043579101562,15091.014709472656,1.6096174716949463
80,80,3.465583086013794,3.3635270595550537,0.011,1.6661795636427488,0.17301372066140175,10038.339233398438,15064.096252441406,2.06352835893631
81,81,3.4258787631988525,3.345775604248047,0.011,1.6804459265265081,0.17397864907979965,10188.652221679688,15233.896179199219,1.658533662557602
82,82,3.3661398887634277,3.4202938079833984,0.011,1.694597966651992,0.1736122891306877,10290.836791992188,15592.319396972656,1.4409253895282745
83,83,3.463989019393921,3.4980809688568115,0.011,1.710036953138927,0.173657588660717,10145.142822265625,15934.967834472656,2.178731918334961
84,84,3.2275214195251465,3.245485305786133,0.011,1.7226847988860126,0.17270207032561302,10269.304809570312,16355.911376953125,2.3735933899879456
85,85,3.429668426513672,3.498836040496826,0.011,1.6178384554665335,0.17093566805124283,10166.364501953125,16513.595947265625,1.7467814087867737
86,86,3.346529006958008,3.400413990020752,0.011,1.6339944420360328,0.1718972884118557,10181.392211914062,16912.92138671875,1.3148840367794037
87,87,3.47074031829834,3.4210002422332764,0.011,1.6458163121682146,0.17039743438363075,10253.68994140625,17055.58251953125,1.9701363146305084
88,88,3.4288816452026367,3.4192121028900146,0.011,1.6604553251723528,0.1687927022576332,10445.955444335938,16737.19140625,2.2076315879821777
89,89,3.4075934886932373,3.277768135070801,0.011,1.6763295654375652,0.16684405878186226,10412.1357421875,16692.833251953125,1.983713686466217
90,90,3.429584503173828,3.368666172027588,0.011,1.6927232647049009,0.1671544685959816,10160.183837890625,17071.440551757812,1.6795701682567596
91,91,3.3138113021850586,3.3523659706115723,0.011,1.7055773281744715,0.1646614484488964,9940.121948242188,17240.062377929688,1.8905854225158691
92,92,3.306138515472412,3.3160223960876465,0.011,1.7180768073103307,0.16518979147076607,10073.246215820312,17312.237426757812,2.2731740474700928
93,93,3.2636208534240723,3.3871898651123047,0.011,1.7288692787798112,0.16655540838837624,10243.06640625,17134.400268554688,1.647279053926468
94,94,3.2732903957366943,3.4430179595947266,0.011,1.7386454759103216,0.16480806469917297,10346.818237304688,16904.146850585938,1.5274975001811981
95,95,3.321254253387451,3.3314833641052246,0.011,1.7417891288432352,0.1633918583393097,10259.297729492188,17000.854614257812,2.0644229650497437
96,96,3.3135986328125,3.306324005126953,0.011,1.748984431411366,0.16245627775788307,10208.474975585938,16915.476928710938,1.686326652765274
97,97,3.3991026878356934,3.372093439102173,0.011,1.7566289301297993,0.15989455580711365,10091.534057617188,16591.450317382812,1.678943693637848
98,98,3.3526153564453125,3.3371920585632324,0.011,1.7638011271171075,0.16294879466295242,9986.473999023438,16779.56591796875,2.2703126668930054
99,99,3.3958024978637695,3.4801111221313477,0.011,1.7645099169386793,0.1598152257502079,9949.8154296875,16792.8935546875,1.515716165304184
100,100,3.394806385040283,3.4182093143463135,0.011,1.7700734183088283,0.15985861793160439,9741.992919921875,17053.644165039062,1.4548516869544983
101,101,3.294032335281372,3.3324074745178223,0.011,1.7751450356943457,0.16113406419754028,9538.217895507812,17117.82275390625,2.250086545944214
102,102,3.36020827293396,3.3980677127838135,0.011,1.7794973045989773,0.1593349389731884,9439.749267578125,17211.534423828125,2.044300615787506
103,103,3.46697998046875,3.3657562732696533,0.011,1.7811531123636377,0.15801822021603584,9422.7685546875,17141.534423828125,1.5895713865756989
104,104,3.321687936782837,3.3624563217163086,0.011,1.7831059159430482,0.15971336141228676,9614.839111328125,17434.223876953125,2.1619125604629517
105,105,3.3610727787017822,3.350186824798584,0.011,1.7866431756246497,0.16116344928741455,9627.353515625,17485.790405273438,2.353296637535095
106,106,3.4235751628875732,3.4850592613220215,0.011,1.790067301446852,0.16117233410477638,9651.132568359375,17333.390991210938,1.69301837682724
107,107,3.3810808658599854,3.253791332244873,0.011,1.7897681461070125,0.1579860784113407,9633.226806640625,17501.363159179688,1.1480046510696411
108,108,3.3781075477600098,3.2620129585266113,0.011,1.7919606319475805,0.15895873308181763,9366.039794921875,18108.896484375,1.8890099823474884
109,109,3.299405097961426,3.435508966445923,0.011,1.7934600207685936,0.15958218649029732,9135.995239257812,18655.890258789062,2.6275678873062134
110,110,3.34389066696167,3.5078718662261963,0.011,1.7988506013576706,0.16000479087233543,9179.967041015625,19119.616943359375,3.000321865081787
111,111,3.4053523540496826,3.4132654666900635,0.011,1.7957893003791796,0.1583852395415306,9366.0498046875,19283.634033203125,2.3450056314468384
112,112,3.417977809906006,3.4147932529449463,0.011,1.7957384287732414,0.1565263569355011,9545.45068359375,19306.338012695312,1.6123299896717072
113,113,3.240241765975952,3.4171600341796875,0.011,1.7980957199065501,0.15702016279101372,9623.25146484375,19574.055053710938,1.6981496512889862
114,114,3.3496222496032715,3.2850301265716553,0.011,1.8085238711054983,0.1570982113480568,9649.329345703125,19940.192504882812,2.1207234859466553
115,115,3.407914638519287,3.3835837841033936,0.011,1.8070908146074323,0.15700633078813553,9616.165893554688,20197.16796875,2.0930731296539307
116,116,3.295180082321167,3.3964648246765137,0.011,1.8081199190656039,0.1574341356754303,9507.432983398438,20501.96875,1.8200462460517883
117,117,3.401498794555664,3.5393130779266357,0.011,1.808417156968779,0.1574348732829094,9517.132568359375,20650.625610351562,1.8645844459533691
118,118,3.3914759159088135,3.3414194583892822,0.011,1.8102843919742224,0.1604163981974125,9532.004638671875,20851.45361328125,1.9570106267929077
119,119,3.37375545501709,3.352970838546753,0.011,1.808386597289155,0.1581023931503296,9366.228759765625,21101.62744140625,1.5223832428455353
