step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.147292137145996,4.151675224304199,0.11,-100.0
1,1,4.131539344787598,4.156442642211914,0.11,-100.0,0.016032769344747066,0.04974763316567987,0.08792665740475059,0.23874681442975998
2,2,3.5646607875823975,3.574653148651123,0.11,-100.0,0.016035654116421938,0.04980024287942797,0.08794503612443805,0.23874271288514137
3,3,3.987797498703003,4.363600254058838,0.11,-100.0,0.017928593326359987,0.152881124522537,0.2820172542706132,0.5309613645076752
4,4,5.522584915161133,5.254621505737305,0.11,-100.0,0.024194341152906418,6.0482631623744965,12.375399351119995,3.61991810798645
5,5,5.701907157897949,5.599456310272217,0.11,-100.0,0.03161229100078344,14.161130219697952,30.0440491437912,4.29035496711731
6,6,5.110322952270508,5.165238380432129,0.11,2.203610410968395,0.04035994503647089,24.282548308372498,49.49865126609802,4.188543319702148
7,7,4.9372172355651855,5.280827522277832,0.11,2.1995571368694926,0.050533109344542027,35.445513010025024,72.65855693817139,4.895350813865662
8,8,5.294342041015625,5.335524559020996,0.11,2.225217813852523,0.06267433241009712,49.22778677940369,105.24400568008423,6.025421380996704
9,9,5.148775100708008,5.2932329177856445,0.11,2.244788502851462,0.0760889369994402,64.49162006378174,139.20287799835205,7.330972194671631
10,10,4.705687046051025,4.882572174072266,0.11,2.266521331756807,0.08959592692553997,82.41999077796936,178.1257882118225,8.66362714767456
11,11,4.078210353851318,4.473504066467285,0.11,2.288777107505375,0.10352112539112568,96.4983582496643,211.21609592437744,9.337918043136597
12,12,4.311443328857422,4.066705703735352,0.11,2.305230448380527,0.11701899394392967,112.09753346443176,250.54505825042725,9.932826042175293
13,13,3.98797869682312,3.9764883518218994,0.11,2.317305532501582,0.13101335614919662,129.3728199005127,286.06682872772217,9.725302696228027
14,14,3.628725290298462,3.601891040802002,0.11,2.33164060685475,0.14393239840865135,152.74518299102783,326.3644323348999,8.768873929977417
15,15,3.549736976623535,3.5081586837768555,0.11,2.340784506158682,0.15665455162525177,168.2507667541504,363.9623603820801,6.900620102882385
16,16,3.7809693813323975,3.660565137863159,0.11,2.172463175844754,0.16815410181879997,190.81403827667236,406.8920269012451,4.578637480735779
17,17,3.455235481262207,3.4608771800994873,0.11,2.199074769788165,0.17838683351874352,214.02972555160522,444.20193672180176,2.0867048501968384
